Time,Suction pressure,Exhaust pressure,Motor temperature,Oil supply pressure,Outlet temperature
2021-01-01T00:00:03,68,19,0,33,514
2021-01-01T00:00:18,68,19,0,34,514
2021-01-01T00:00:32,68,19,0,34,514
2021-01-01T00:00:47,68,19,0,34,514
2021-01-01T00:01:01,68,19,0,33,514
2021-01-01T00:01:15,68,19,0,33,514
2021-01-01T00:01:30,68,20,0,34,514
2021-01-01T00:01:44,68,20,0,34,514
2021-01-01T00:01:58,68,20,0,33,514
2021-01-01T00:02:12,68,20,0,33,514
2021-01-01T00:02:27,68,19,0,33,514
2021-01-01T00:02:41,68,19,0,33,514
2021-01-01T00:02:55,68,20,0,33,514
2021-01-01T00:03:10,68,20,0,33,514
2021-01-01T00:03:25,68,20,0,33,514
2021-01-01T00:03:39,68,20,0,33,514
2021-01-01T00:03:53,68,19,0,33,514
2021-01-01T00:04:08,68,19,0,33,514
2021-01-01T00:04:22,68,20,0,33,514
2021-01-01T00:04:37,68,20,0,34,513
2021-01-01T00:04:51,68,20,0,33,513
2021-01-01T00:05:05,68,20,0,33,513
2021-01-01T00:05:19,68,20,0,34,513
2021-01-01T00:05:34,68,20,0,33,513
2021-01-01T00:05:47,68,20,0,34,513
2021-01-01T00:06:02,69,20,0,34,513
2021-01-01T00:06:16,69,20,0,34,513
2021-01-01T00:06:31,69,20,0,34,513
2021-01-01T00:06:45,69,20,0,34,514
2021-01-01T00:06:59,69,20,0,34,514
2021-01-01T00:07:14,69,20,0,34,514
2021-01-01T00:07:29,69,20,0,34,514
2021-01-01T00:07:43,69,20,0,34,514
2021-01-01T00:07:57,69,20,0,34,514
2021-01-01T00:08:11,69,20,0,34,514
2021-01-01T00:08:25,69,20,0,34,514
2021-01-01T00:08:40,69,20,0,34,514
2021-01-01T00:08:55,69,20,0,34,514
2021-01-01T00:09:09,69,20,0,34,514
2021-01-01T00:09:23,69,20,0,34,514
2021-01-01T00:09:38,69,20,0,34,514
2021-01-01T00:09:52,69,20,0,34,514
2021-01-01T00:10:06,69,20,0,34,514
2021-01-01T00:10:21,69,20,0,34,514
2021-01-01T00:10:36,69,20,0,34,514
2021-01-01T00:10:50,69,20,0,34,514
2021-01-01T00:11:03,69,20,0,34,514
2021-01-01T00:11:18,69,20,0,34,514
2021-01-01T00:11:32,69,20,0,34,514
2021-01-01T00:11:47,69,21,0,34,514
2021-01-01T00:12:01,70,20,0,34,514
2021-01-01T00:12:16,70,21,0,34,514
2021-01-01T00:12:30,70,21,0,34,514
2021-01-01T00:12:44,70,21,0,34,514
2021-01-01T00:12:59,70,21,0,34,514
2021-01-01T00:13:14,70,21,0,34,514
